,0
0,2.2513862573662994e-11
1,1.5745994524237192e-11
2,6.331218715968125e-11
3,1.4140741738729243e-10
4,8.930820847548549e-11
5,5.792666686337764e-11
6,1.9314900488108383e-10
7,4.0627389812851674e-12
8,4.191763017013945e-11
9,7.407072812201079e-12
10,7.957984706232831e-11
11,2.975196503159735e-11
12,1.017312641839559e-10
13,5.8004254414015574e-11
14,7.59914793150805e-12
15,1.0520774650306697e-10
16,5.0815792119212274e-11
17,2.4103591272934154e-11
18,5.476026878202006e-11
19,1.0231691660232841e-10
20,8.155752906889117e-11
21,7.728268991218704e-11
22,2.8773114667090945e-11
23,9.496536170110243e-11
24,5.266311727342352e-11
25,1.197770937643064e-10
26,5.559426848388185e-12
27,2.9112288957163386e-11
28,8.736310964904047e-11
29,2.674044649539966e-11
30,6.608019661792199e-11
31,2.769752111930891e-11
32,3.0392180643980776e-11
33,6.557423795669378e-11
34,9.322755821332228e-11
35,1.048921167425946e-10
36,1.522861046619963e-10
37,1.0157268637879107e-10
38,3.544875919892187e-11
39,3.9211218344778584e-11
40,9.597666700427488e-11
41,1.261335884483256e-10
42,1.415918800755828e-10
43,5.352950638785372e-11
44,2.5927895149770566e-10
45,6.418262575295277e-13
46,4.483878855725067e-11
47,2.1429291948865915e-10
48,1.0077496090080186e-10
49,9.547272740354292e-11
50,6.331966931579277e-11
51,1.1455625963233114e-10
52,1.1136751730128616e-10
53,2.6109682837554774e-11
54,1.7439425284347874e-10
55,3.617656028458854e-11
56,3.009587068421982e-11
57,1.387814705308734e-11
58,1.1875465946503625e-10
59,8.296411914977055e-11
60,1.3075023070516235e-10
61,1.626953763780292e-10
62,7.406148228437445e-11
63,7.664675390675015e-11
64,6.422582277565274e-11
65,1.0046272707741416e-10
66,9.539288803144168e-11
67,1.8457413335917655e-11
68,9.502993300176345e-11
69,1.4380548669002756e-10
70,2.0071101369657933e-11
71,1.8933434811170157e-10
72,2.1438377370058288e-10
73,2.4105950086022424e-10
74,7.007531952936297e-11
75,4.339677338923543e-11
76,1.7154603964019446e-10
77,3.693083056385116e-11
78,3.0815220479228707e-11
79,1.807973943655311e-11
80,2.3756440169779128e-11
81,1.0480112304651649e-10
82,1.1410835354970865e-10
83,8.947251834643173e-11
84,2.537311998148569e-11
85,3.4777254914953775e-12
86,9.940733457025204e-11
87,1.1493768321655783e-10
88,6.280110031427199e-11
89,1.2776760277618013e-10
90,7.769868838983917e-12
91,1.9048220585894514e-11
92,1.2744904068156598e-10
93,2.495563848228719e-11
94,3.165698603566781e-11
95,6.206418807042673e-11
96,8.0963350838477e-11
97,8.774227801091529e-11
98,4.851807356731128e-11
99,4.6373813633409145e-12
100,9.692991403017428e-11
101,5.35438322134111e-11
102,3.991657160289818e-11
103,1.3808010683039666e-10
104,1.4126114696090347e-11
105,7.976726251798409e-11
106,6.367845004529886e-11
107,2.058148975519521e-11
108,4.218522013686055e-11
109,9.019205893524293e-11
110,4.5087747825678396e-11
111,3.3536948208053055e-13
112,7.400607010754517e-11
113,2.8890979390859686e-11
114,7.211919625263834e-12
115,4.594312298334823e-11
116,3.2004457414193534e-11
117,1.528532323884962e-11
118,4.754954769574015e-11
119,3.33646982696802e-11
120,8.09679935210243e-12
121,4.3168170220772536e-11
122,7.27568952586972e-11
123,1.2877576139728567e-10
124,1.8753532774312415e-10
125,9.82317415158399e-11
126,6.164824741344424e-11
127,6.226668157437209e-11
128,7.552252525899112e-11
129,6.012289748726198e-11
130,1.1003087457575235e-10
131,4.7426845415785055e-11
132,1.2193183399092448e-11
133,3.760624807777589e-11
134,6.806191383080587e-11
135,7.348177600174007e-11
136,1.523960676274783e-11
137,1.0513159809331704e-10
138,9.2461817290586e-11
139,6.41221647866765e-11
140,2.0631924558668302e-11
141,3.118721193585207e-11
142,8.270791392436409e-11
143,2.5090658399019613e-11
144,8.330385251677754e-13
145,1.0323902694197757e-11
146,1.3446936748712232e-10
147,1.1206172097377111e-10
148,3.0700434298309634e-11
149,1.4723427256938722e-10
150,1.1335507296172034e-11
151,8.454798593287605e-11
152,6.885163513603698e-11
153,5.510419077802018e-11
154,2.1413792932963957e-11
155,6.459161968008454e-11
156,7.007877561116412e-11
157,1.0497807264024114e-10
158,5.093197791964547e-12
159,1.327671890607202e-10
160,3.3454556314267484e-11
161,1.3776405429802583e-10
162,2.827260012805544e-10
163,3.058622442074068e-11
164,6.249519521143287e-11
165,3.54171899305677e-11
166,4.5428736919901917e-11
167,1.7673752124320398e-10
168,1.312329570991167e-10
169,8.704288546013454e-11
170,6.198781654145215e-11
171,1.585668975389771e-10
172,1.2792314005584146e-11
173,6.844906275567684e-11
174,5.572299252526385e-11
175,1.7076344159929523e-10
176,1.873306080052044e-10
177,1.3681574279783318e-10
178,8.338170054315322e-11
179,1.6976201463846272e-10
180,1.1587222331068097e-11
181,8.737532021927666e-11
182,1.432074975729281e-10
183,7.020572885748355e-11
184,1.064789662518862e-12
185,2.1139930009248076e-11
186,1.1615145754856726e-10
187,9.467120141502971e-11
188,9.211044362263084e-11
189,1.9168242368771862e-12
190,1.774005557097303e-10
191,2.300578841466453e-12
192,1.630948974750552e-10
193,1.0742428555450412e-10
194,1.3764917174652549e-11
195,7.727024655115663e-11
196,1.265497581047848e-10
197,2.3455289179939966e-11
198,2.1025552119890628e-10
199,2.0483442443804334e-10
200,2.3299998142386e-10
201,1.7059724872667742e-10
202,9.241992961166363e-11
203,1.6905346402860976e-10
204,2.904972293994366e-11
205,1.164088535177131e-10
206,7.839932263728594e-11
207,2.9522820719026015e-10
208,1.6474223743259215e-10
209,2.1204653539820306e-11
210,1.1697077923410173e-10
211,1.6118281830327602e-10
212,3.94053967814961e-11
213,2.935677787401277e-10
214,2.121116329577839e-10
215,5.2610032124959764e-11
