,0
0,0.14177497916004894
1,0.49603647264909445
2,0.12792503732818164
3,0.5358455342395643
4,0.05337333761065466
5,0.6620706649856005
6,0.785180343648282
7,0.22172066638924423
8,0.10555306024595978
9,0.4309294173011644
10,0.2885951312721432
11,0.4595604788196004
12,0.19405215929395728
13,0.16123229028213754
14,0.4326290759759689
15,0.003811636832020626
16,0.1377438280465054
17,0.19009254258979144
18,0.20550731002561226
19,0.7312379420314448
20,0.7205174354028091
21,0.163957890573583
22,0.542379392383189
23,0.6232419652801712
24,0.01586894348415427
25,0.2998636955211613
26,0.10853221858101075
27,0.6406234976542677
28,0.1347726895957586
29,0.025214120578285454
30,0.1900837824751393
31,0.21448903822179782
32,0.10717882961759795
33,0.39378117769522114
34,0.5735312413342429
35,0.1260421659853308
36,0.19961577167451164
37,0.5783646307263564
38,0.21553833472992656
39,0.16877282103491228
40,0.781840600647365
41,0.03537084482349573
42,0.15429234245711543
43,0.20278490417041084
44,0.08423090906422798
45,0.46648450600911606
46,0.06192312998006838
47,0.27777927433643906
48,0.2937180740595196
49,0.02402548176807437
50,0.25446595637280345
51,0.0034487763535046984
52,0.3026669735054076
53,0.0630287873103125
54,0.05618370971882286
55,0.0021266604882348716
56,0.26250586772105355
57,0.29776614655963907
58,0.24233786891433895
59,0.024835917068277827
60,0.12580941880772398
61,0.508335226112106
62,0.4383532101801991
63,0.36728608471126334
64,0.207121299674454
65,0.4753520993901943
66,0.6167526879643775
67,0.24949726214430182
68,0.08565869121162342
69,0.13942125446255668
70,0.4324635743945765
71,0.1589885036739463
72,0.2975941452611286
73,0.48331877208851337
74,0.10577768180911801
75,0.3695025040427705
76,0.6479328268621929
77,0.2256963265155725
78,0.6484897779944144
79,0.21322386170141638
80,0.28893971825259135
81,0.06480220217413832
82,0.08389502078239539
83,0.5111761062875818
84,0.24953160980588815
85,0.26476470409912595
86,0.2135694509885005
87,0.2092518962862702
88,0.6060571635541244
89,0.2981023664167485
90,0.028511642590322017
91,0.6151282651449436
92,0.11327463149132494
93,0.18998254101421547
94,0.27128218308262386
95,0.2543188244412724
96,0.2630351610777092
97,0.2362993490778441
98,0.016247087649828712
99,0.5052781577283643
100,0.204376758423163
101,0.4487820796287525
102,0.35654847566988634
103,0.46477873419263815
104,0.1296283248260053
105,0.23446815601256338
106,0.0017738410841412061
107,0.017381747938704173
108,0.1756762949110855
109,0.12098906702089679
110,0.10973139724511802
111,0.30179756525837653
112,0.22874588997339182
113,0.006761879159750225
114,0.29398374254176673
115,0.1613505238573644
116,0.14950955246882677
117,0.4746695081781136
118,0.22857653023458727
119,0.5826775311796496
120,0.16152609398499274
121,0.08038284849153877
122,0.4407572618488834
123,0.34886177102095484
124,0.010831710664800667
125,0.15751177457910517
126,0.039148670400406704
127,0.33894862100431955
128,0.17662815912287122
129,0.5619540847782258
130,0.07303342764441119
131,0.1558578515559164
132,0.06732285796793969
133,0.23921383626975656
134,0.028176858300386562
135,0.03730787372663541
136,0.08953306708148005
137,0.0250877367471527
138,0.27763708973920254
139,0.11993407477059283
140,0.009171263040945413
141,0.021604553171610946
142,0.32132101250812695
143,0.37951252929092194
144,0.38504448683971515
